Tube Line,From Station,To Station,Weight,Rev_Weight
District,Wimbledon Park,Wimbledon,2.5,3.5
District,Turnham Green,Gunnersbury,3.5,3
District,Paddington,Edgware Road (Circle/District/Hammersmith and City),2,2.5
District,Earls Court,West Kensington,3,2
District,West Kensington,Barons Court,1.5,1.5
District,Barons Court,Hammersmith (District),1.5,2
District,Hammersmith (District),Ravenscourt Park,2.5,2
District,Southfields,Wimbledon Park,2.5,2
District,Whitechapel,Aldgate East,2,2.5
District,South Kensington,Gloucester Road,1.5,2
District,Gloucester Road,Earls Court,2.5,2.5
District,Mile End,Stepney Green,2,2
District,Earls Court,High Street Kensington,3,3.5
District,High Street Kensington,Notting Hill Gate,2,2
District,Mansion House,Blackfriars,2,1.5
District,Becontree,Upney,2.5,2.5
District,Monument,Cannon Street,1.5,1
District,Tower Hill,Monument,2,1.5
District,Aldgate East,Tower Hill,2.5,2
District,Stepney Green,Whitechapel,2,2.5
District,Sloane Square,South Kensington,2.5,2.5
District,Victoria,Sloane Square,2,2.5
District,St. James's Park,Victoria,1.5,2
District,Barking,East Ham,3.5,3.5
District,East Ham,Upton Park,2.5,2
District,Upton Park,Plaistow,2,2.5
District,Plaistow,West Ham,1.5,1.5
District,West Ham,Bromley-by-Bow,2.5,2
District,Bromley-by-Bow,Bow Road,2,2.5
District,Bow Road,Mile End,1.5,1.5
District,Westminster,St. James's Park,2,1.5
District,Cannon Street,Mansion House,1,1.5
District,Blackfriars,Temple,1.5,2
District,Temple,Embankment,2,2
District,Embankment,Westminster,2,1.5
Hammersmith and City,Mile End,Bow Road,1.5,1.5
Hammersmith and City,Plaistow,Upton Park,2.5,2
Hammersmith and City,Hammersmith (Met.),Goldhawk Road,2.5,1.5
Hammersmith and City,Goldhawk Road,Shepherds Bush Market,1.5,1.5
Hammersmith and City,Shepherds Bush Market,Wood Lane,1.5,1.5
Hammersmith and City,Royal Oak,Paddington,1.5,2
Hammersmith and City,Wood Lane,Latimer Road,1.5,1.5
Hammersmith and City,Latimer Road,Ladbroke Grove,1.5,1.5
Hammersmith and City,Ladbroke Grove,Westbourne Park,1.5,1.5
Hammersmith and City,Liverpool Street,Aldgate East,2.5,2.5
Hammersmith and City,Aldgate East,Whitechapel,2.5,2
Hammersmith and City,Whitechapel,Stepney Green,2.5,2
Hammersmith and City,Stepney Green,Mile End,2,2
Hammersmith and City,Bow Road,Bromley-by-Bow,2.5,2
Hammersmith and City,Bromley-by-Bow,West Ham,2,2.5
Hammersmith and City,West Ham,Plaistow,1.5,1.5
Hammersmith and City,Upton Park,East Ham,2,2.5
Hammersmith and City,Moorgate,Liverpool Street,1.5,1.5
